title,artist,album,isrc,platform,trackId,duration,addedDate,addedBy,url
"Symphony No. 38 in D Major, K. 504 ""Prague"": I. Adagio (Allegro)","Scottish Chamber Orchestra, Sir Charles Mackerras",Mozart: Symphonies Nos. 38-41,GBASH0830801,tidal,156570988,1064s,,,http://www.tidal.com/track/156570988
"Symphony No. 38 in D Major, K. 504 ""Prague"": II. Andante","Scottish Chamber Orchestra, Sir Charles Mackerras",Mozart: Symphonies Nos. 38-41,GBASH0830802,tidal,156570990,678s,,,http://www.tidal.com/track/156570990
"Symphony No. 38 in D Major, K. 504 ""Prague"": III. Finale (Presto)","Scottish Chamber Orchestra, Sir Charles Mackerras",Mozart: Symphonies Nos. 38-41,GBASH0830803,tidal,156570992,456s,,,http://www.tidal.com/track/156570992
"Symphony No. 39 in E-Flat Major, K. 543: I. Adagio (Allegro)","Scottish Chamber Orchestra, Sir Charles Mackerras",Mozart: Symphonies Nos. 38-41,GBASH0830804,tidal,156570989,600s,,,http://www.tidal.com/track/156570989
"Symphony No. 39 in E-Flat Major, K. 543: II. Andante con moto","Scottish Chamber Orchestra, Sir Charles Mackerras",Mozart: Symphonies Nos. 38-41,GBASH0830805,tidal,156570991,482s,,,http://www.tidal.com/track/156570991
"Symphony No. 39 in E-Flat Major, K. 543: III. Minuetto (Allegretto) - Trio","Scottish Chamber Orchestra, Sir Charles Mackerras",Mozart: Symphonies Nos. 38-41,GBASH0830806,tidal,156570993,262s,,,http://www.tidal.com/track/156570993
"Symphony No. 39 in E-Flat Major, K. 543: IV. Finale (Allegro)","Scottish Chamber Orchestra, Sir Charles Mackerras",Mozart: Symphonies Nos. 38-41,GBASH0830807,tidal,156570994,470s,,,http://www.tidal.com/track/156570994
"Symphony No. 40 in G Minor, K. 550: I. Molto allegro","Scottish Chamber Orchestra, Sir Charles Mackerras",Mozart: Symphonies Nos. 38-41,GBASH0830808,tidal,156570995,426s,,,http://www.tidal.com/track/156570995
"Symphony No. 40 in G Minor, K. 550: II. Andante","Scottish Chamber Orchestra, Sir Charles Mackerras",Mozart: Symphonies Nos. 38-41,GBASH0830809,tidal,156570997,805s,,,http://www.tidal.com/track/156570997
"Symphony No. 40 in G Minor, K. 550: III. Menuetto (Allegretto)","Scottish Chamber Orchestra, Sir Charles Mackerras",Mozart: Symphonies Nos. 38-41,GBASH0830810,tidal,156570999,243s,,,http://www.tidal.com/track/156570999
"Symphony No. 40 in G Minor, K. 550: IV. Finale (Allegro assai)","Scottish Chamber Orchestra, Sir Charles Mackerras",Mozart: Symphonies Nos. 38-41,GBASH0830811,tidal,156571001,556s,,,http://www.tidal.com/track/156571001
"Symphony No. 41 in C Major, K. 551 ""Jupiter"": I. Allegro vivace","Scottish Chamber Orchestra, Sir Charles Mackerras",Mozart: Symphonies Nos. 38-41,GBASH0830812,tidal,156570996,699s,,,http://www.tidal.com/track/156570996
"Symphony No. 41 in C Major, K. 551 ""Jupiter"": II. Andante cantabile","Scottish Chamber Orchestra, Sir Charles Mackerras",Mozart: Symphonies Nos. 38-41,GBASH0830813,tidal,156570998,627s,,,http://www.tidal.com/track/156570998
"Symphony No. 41 in C Major, K. 551 ""Jupiter"": III. Menuetto (Allegretto)","Scottish Chamber Orchestra, Sir Charles Mackerras",Mozart: Symphonies Nos. 38-41,GBASH0830814,tidal,156571000,303s,,,http://www.tidal.com/track/156571000
"Symphony No. 41 in C Major, K. 551 ""Jupiter"": IV. Molto allegro","Scottish Chamber Orchestra, Sir Charles Mackerras",Mozart: Symphonies Nos. 38-41,GBASH0830815,tidal,156571002,690s,,,http://www.tidal.com/track/156571002
"Concerto for Orchestra, Sz. 116: I. Introduzione. Andante non troppo","Orchestre National de Lille, Alexandre Bloch",Bartók: Concerto pour orchestre - Concerto pour alto,FR50X2201301,tidal,309518268,624s,,,http://www.tidal.com/track/309518268
"Concerto for Orchestra, Sz. 116: II. Presentando le coppie. Allegro scherzando","Orchestre National de Lille, Alexandre Bloch",Bartók: Concerto pour orchestre - Concerto pour alto,FR50X2201302,tidal,309518269,384s,,,http://www.tidal.com/track/309518269
"Concerto for Orchestra, Sz. 116: III. Elegia. Andante non troppo","Orchestre National de Lille, Alexandre Bloch",Bartók: Concerto pour orchestre - Concerto pour alto,FR50X2201303,tidal,309518270,435s,,,http://www.tidal.com/track/309518270
"Concerto for Orchestra, Sz. 116: IV. Intermezzo Interrotto. Allegretto","Orchestre National de Lille, Alexandre Bloch",Bartók: Concerto pour orchestre - Concerto pour alto,FR50X2201304,tidal,309518271,268s,,,http://www.tidal.com/track/309518271
"Concerto for Orchestra, Sz. 116: V. Finale. Pesante-Presto","Orchestre National de Lille, Alexandre Bloch",Bartók: Concerto pour orchestre - Concerto pour alto,FR50X2201305,tidal,309518272,583s,,,http://www.tidal.com/track/309518272
"Viola Concerto, Sz. 120: I. Moderato","Orchestre National de Lille, Alexandre Bloch, Amihai Grosz",Bartók: Concerto pour orchestre - Concerto pour alto,FR50X2201306,tidal,309518273,845s,,,http://www.tidal.com/track/309518273
"Viola Concerto, Sz. 120: II. Adagio religioso","Orchestre National de Lille, Alexandre Bloch, Amihai Grosz",Bartók: Concerto pour orchestre - Concerto pour alto,FR50X2201307,tidal,309518274,283s,,,http://www.tidal.com/track/309518274
"Viola Concerto, Sz. 120: III. Allegro vivace","Orchestre National de Lille, Alexandre Bloch, Amihai Grosz",Bartók: Concerto pour orchestre - Concerto pour alto,FR50X2201308,tidal,309518275,269s,,,http://www.tidal.com/track/309518275
"Piano Concerto No. 20 in D Minor, K. 466: I. Allegro","Charles Richard-Hamelin, Les Violons du Roy, Jonathan Cohen",Mozart: Piano Concertos Nos. 20 & 23,CALC42309021,tidal,313466200,825s,,,http://www.tidal.com/track/313466200
"Piano Concerto No. 20 in D Minor, K. 466: II. Romance","Charles Richard-Hamelin, Les Violons du Roy, Jonathan Cohen",Mozart: Piano Concertos Nos. 20 & 23,CALC42309022,tidal,313466202,497s,,,http://www.tidal.com/track/313466202
"Piano Concerto No. 20 in D Minor, K. 466: III. Allegro assai","Charles Richard-Hamelin, Les Violons du Roy, Jonathan Cohen",Mozart: Piano Concertos Nos. 20 & 23,CALC42309023,tidal,313466204,448s,,,http://www.tidal.com/track/313466204
"Piano Concerto No. 23 in A Major, K. 488: I. Allegro","Charles Richard-Hamelin, Les Violons du Roy, Jonathan Cohen",Mozart: Piano Concertos Nos. 20 & 23,CALC42309024,tidal,313466205,681s,,,http://www.tidal.com/track/313466205
"Piano Concerto No. 23 in A Major, K. 488: II. Adagio","Charles Richard-Hamelin, Les Violons du Roy, Jonathan Cohen",Mozart: Piano Concertos Nos. 20 & 23,CALC42309025,tidal,313466206,400s,,,http://www.tidal.com/track/313466206
"Piano Concerto No. 23 in A Major, K. 488: III. Allegro assai","Charles Richard-Hamelin, Les Violons du Roy, Jonathan Cohen",Mozart: Piano Concertos Nos. 20 & 23,CALC42309026,tidal,313466207,475s,,,http://www.tidal.com/track/313466207
"Adagio and Fugue in C Minor, K. 546","Les Violons du Roy, Jonathan Cohen",Mozart: Piano Concertos Nos. 20 & 23,CALC42309027,tidal,313466208,398s,,,http://www.tidal.com/track/313466208
"Symphony No. 3, Op. 36: I. Lento - Sostenuto Tranquillo Ma Cantabile","Dawn Upshaw, London Sinfonietta, David Zinman",Górecki: Symphony No. 3,USN019228201,tidal,256721,1607s,,,http://www.tidal.com/track/256721
"Symphony No. 3, Op. 36: II. Lento e Largo - Tranquillissimo","Dawn Upshaw, London Sinfonietta, David Zinman",Górecki: Symphony No. 3,USN019228202,tidal,256722,568s,,,http://www.tidal.com/track/256722
"Symphony No. 3, Op. 36: III. Lento - Cantablile Semplice","Dawn Upshaw, London Sinfonietta, David Zinman",Górecki: Symphony No. 3,USN019228203,tidal,256723,1030s,,,http://www.tidal.com/track/256723
Tabula Rasa: I. Ludus,"Renaud Capuçon, François Sochard, Guillaume Bellom",Pärt: Tabula Rasa,GBAYC2100003,tidal,190541071,638s,,,http://www.tidal.com/track/190541071
Tabula Rasa: II. Silentium,"Renaud Capuçon, François Sochard, Guillaume Bellom",Pärt: Tabula Rasa,GBAYC2100004,tidal,190541072,999s,,,http://www.tidal.com/track/190541072
"Zemlinsky: Lyrische Symphonie, Op. 18 - 1. Langsam","Håkan Hagegård, Concertgebouworkest, Riccardo Chailly",Zemlinsky: Lyric Symphony,GBF079310741,tidal,50609999,637s,,,http://www.tidal.com/track/50609999
"Zemlinsky: Lyrische Symphonie, Op. 18 - 2. Lebhaft","Alessandra Marc, Concertgebouworkest, Riccardo Chailly",Zemlinsky: Lyric Symphony,GBF079310742,tidal,50610000,434s,,,http://www.tidal.com/track/50610000
"Zemlinsky: Lyrische Symphonie, Op. 18 - 3. Von hier ab plötzlich breiter . . .","Håkan Hagegård, Concertgebouworkest, Riccardo Chailly",Zemlinsky: Lyric Symphony,GBF079310743,tidal,50610001,395s,,,http://www.tidal.com/track/50610001
"Zemlinsky: Lyrische Symphonie, Op. 18 - 4. Langsam","Alessandra Marc, Concertgebouworkest, Riccardo Chailly",Zemlinsky: Lyric Symphony,GBF079310744,tidal,50610002,472s,,,http://www.tidal.com/track/50610002
"Zemlinsky: Lyrische Symphonie, Op. 18 - 5. Feurig und kraftvoll","Håkan Hagegård, Concertgebouworkest, Riccardo Chailly",Zemlinsky: Lyric Symphony,GBF079310745,tidal,50610003,126s,,,http://www.tidal.com/track/50610003
"Zemlinsky: Lyrische Symphonie, Op. 18 - 6. Sehr mässig","Alessandra Marc, Concertgebouworkest, Riccardo Chailly",Zemlinsky: Lyric Symphony,GBF079310746,tidal,50610004,274s,,,http://www.tidal.com/track/50610004
"Zemlinsky: Lyrische Symphonie, Op. 18 - 7. Molto Adagio","Håkan Hagegård, Concertgebouworkest, Riccardo Chailly",Zemlinsky: Lyric Symphony,GBF079310747,tidal,50610005,498s,,,http://www.tidal.com/track/50610005
Zemlinsky: Sinfonische Gesänge. Op. 20 - 1. Lied aus Dixieland,"Willard White, Royal Concertgebouw Orchestra, Riccardo Chailly",Zemlinsky: Lyric Symphony,GBF079310751,tidal,50610006,215s,,,http://www.tidal.com/track/50610006
Zemlinsky: Sinfonische Gesänge. Op. 20 - 2. Lied der Baumwollpacker,"Willard White, Royal Concertgebouw Orchestra, Riccardo Chailly",Zemlinsky: Lyric Symphony,GBF079310752,tidal,50610007,193s,,,http://www.tidal.com/track/50610007
